Line name,Pipe name,VC name,Qos,DosOrDrop,Jambo,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name
TIME,Half-1,,0,0,0,,,,,,,,,,,,,,,,,,,,
TIME,Half-1,VC2,0,0,0,Time_half_quarter_int,Time_half_quarter_ext,,,,,,,,,,,,,,,,,,
TIME,Half-1,VC1,0,0,0,Time_half_quarter_int,Time_half_quarter_ext,,,,,,,,,,,,,,,,,,
TIME,Half-1,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
TIME,Half-2,,0,0,0,,,,,,,,,,,,,,,,,,,,
TIME,Half-2,VC2,0,0,0,Time_half_quarter_int,Time_half_quarter_ext,,,,,,,,,,,,,,,,,,
TIME,Half-2,VC1,0,0,0,Time_half_quarter_int,Time_half_quarter_ext,,,,,,,,,,,,,,,,,,
TIME,Half-2,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
TIME,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
TIME,Fallback,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
UDS,,,0,0,0,,,,,,,,,,,,,,,,,,,,
UDS,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
UDS,Fallback,Fallback,0,0,0,UDS_HTTP_GET_int,UDS_HTTP_GET_ext,,,,,,,,,,,,,,,,,,
IPv6,,,0,0,0,,,,,,,,,,,,,,,,,,,,
IPv6,DualStack,,0,0,0,DualStack_IPv6_BitTorrent_int,DualStack_IPv6_BitTorrent_ext,DualStack_IPv4_eDonkey_int,DualStack_IPv4_eDonkey_ext,,,,,,,,,,,,,,,,
IPv6,DualStack,BitTorrent-IPv6,0,0,0,DualStack_IPv6_BitTorrent_int,DualStack_IPv6_BitTorrent_ext,,,,,,,,,,,,,,,,,,
IPv6,DualStack,eDonkey,0,0,0,DualStack_IPv4_eDonkey_int,DualStack_IPv4_eDonkey_ext,,,,,,,,,,,,,,,,,,
IPv6,DualStack,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
IPv6,CER1,,0,0,0,,,,,,,,,,,,,,,,,,,,
IPv6,CER1,vc1,0,0,0,IPv6+Hop-by-Hop+Destination header +tcp+eDonkey_int,IPv6+Hop-by-Hop+Destination header +tcp+eDonkey_ext,,,,,,,,,,,,,,,,,,
IPv6,CER1,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
IPv6,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
IPv6,Fallback,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
Tethering,,,0,0,0,,,,,,,,,,,,,,,,,,,,
Tethering,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
Tethering,Fallback,Fallback,0,0,0,Tethering BG_int,Tethering BG_ext,Tethering-DNS_int,Tethering-DNS_ext,Tethering-HTTP_int,Tethering-HTTP_ext,,,,,,,,,,,,,,
Interface,,,0,0,0,,,,,,,,,,,,,,,,,,,,
Interface,p11,,0,0,0,,,,,,,,,,,,,,,,,,,,
Interface,p11,vc1,0,0,0,Interface-p1-vc1_int,Interface-p1-vc1_ext,,,,,,,,,,,,,,,,,,
Interface,p11,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
Interface,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
Interface,Fallback,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
Fallback,,,0,0,0,,,,,,,,,,,,,,,,,,,,
Fallback,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
Fallback,Fallback,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
